name,country,price,sku_link,alc,style,beer_type,desc
FERNIE BREWING - HOP TRICK MIXER SIXER CANS,Canada,$12.79,/product/860429,6.5%,Variety Pack,Domestic Beer - BC Craft Beer,"The perfect collection of hoppy brews, all in one good looking 6-pack. The summer edition of our seasonally rotating Hop Trick Mixer Sixer features three of FBC’s favourite IPA’s - Lone Wolf IPA, The Real Peel Grapefruit IPA and Slingshot Session IPA. Perfect for all the hop-heads out there. 
"
FERNIE BREWING - JAVA THE HUT COFFEE MILK STOUT TALL CAN,Canada,$2.99,/product/194642,5%,Other,Domestic Beer - BC Craft Beer,"With a rich infusion of roasted Crowsnest Coffee, this creamy Stout is a truly satisfying brew, any time of day.The popular Crowsnest Coffee Roasters supply our blend of coffee beans for this brew. These are added to the mash, along with a decadent amount of Chocolate, Roasted and Black malts.
"
FERNIE BREWING - THE REAL PEEL GRAPEFRUIT IPA TALL CAN,Canada,$2.99,/product/128722,6.4%,India Pale Ale,Domestic Beer - BC Craft Beer,"A light-coloured IPA, with bold citrusy and grapefruit flavours. Fernie uses grapefruit peel and citrusy hops of Amarillo, Centennial and Citra to produce this refreshing IPA.
"
FOUR WINDS - HUFTGOLD TALL CAN,Canada,$13.79,/product/132106,5.4%,Pilsner,Domestic Beer - BC Craft Beer,"Huftgold has a bright, malty body with a mellow, yet pronounced hop profile. A crisp, easy-drinking German-Style Pilsner.
"
FOUR WINDS - IPA,Canada,$9.29,/product/398040,7%,India Pale Ale,Domestic Beer - BC Craft Beer,"Sharp citrus pith and pine resin are front and center in this west coast style IPA.
"
FOUR WINDS - JUXTAPOSE WILD IPA,Canada,$6.19,/product/75952,7%,India Pale Ale,Domestic Beer - BC Craft Beer,No info
FOUR WINDS - NECTAROUS DRY HOPPED SOUR,Canada,$7.69,/product/871376,5.5%,Sour,Domestic Beer - BC Craft Beer,"Cut through carbs with a tart pucker. Four Wind's Nectarous Dry Hopped Sour still stands as one of BC best sour beers to date. It delivers a cornucopia of bright nectarine, peach, passion fruit, pineapple and citrus notes in a tart but balanced profile."
FRULI - STRAWBERRY BEER,Belgium,$3.19,/product/602557,4.1%,Fruit Ale,Import Beer,"Fruli is a unique blend of Belgian white beer and real strawberry juice, produced at a craft brewery in Melle near Ghent in Belgium. It’s a 300 year old brewery called Huyghe which has been in the De Laet family for 100 years. The juice complements the zestiness of the wheat beer and the result is a balanced and refreshing beer that is packed with strawberry fruit flavour. All natural with no sugar added. 
"
FUGGLES & WARLOCK - KIWAMI PLUM SOUR CAN,Canada,$13.29,/product/263503,6.3%,Sour,Domestic Beer - BC Craft Beer,"A delicately tart wheat kettle sour brewed with fresh plums.
"
FUGGLES & WARLOCK - RAIDEN BLACK RYE IPA,Canada,$6.89,/product/468439,7%,India Pale Ale,Domestic Beer - BC Craft Beer,"A black rye IPA with pungent citrus and black currant aromas from West Coast hops and slight pepperiness from rye is balanced with a roasty, yet smooth mouthfeel.
"
FUGGLES & WARLOCK - THE LAST STRAWBERRY WIT,Canada,$6.29,/product/842021,4.9%,Fruit Ale,Domestic Beer - BC Craft Beer,"A refreshing Belgian wit brewed with fresh strawberries and sweetened with lactose. Delicately sweet and slightly tart. Keep refrigerated. 
"
FULLERS LONDON PRIDE TALL CAN,United Kingdom,$10.49,/product/676767,4.7%,Pale Ale,Import Beer,"Brewed to 4.7%, this tawny-coloured premium ale borrows sweet raisin, biscuit and dried-fruit notes from the Crystal malt, while fresh, piney herbs emanate from the hops. Rich, smooth and elegant on the palate, it draws to a clean, satisfying finish with beautifully balanced bitterness.
"
GLUTENBERG - BLONDE ALE GLUTEN FREE TALL CAN,Canada,$15.29,/product/509224,4.5%,Gluten-free,Domestic Beer - Outside of BC Beer,"Glutenberg’s award winning gluten-free Blonde is airy and lemony and reveals floral and lightly herbal notes, making room for a dry and tasty finale. The brewery’s first creation, it paved the road to success and still imposes itself as a thirst-quenching beer that can charm any palate.
"
GRANVILLE ISLAND - BREWER'S CHOICE WINTER 2020 TALL CAN,Canada,$18.49,/product/15824,5.5%,Other,Domestic Beer - National Domestic Beer,"The new Winters Brewer's Choice provides a great mix for sharing among friends, with the opportunity to try both new Granville Island Winter seasonals. Brewer's Choice includes BC's favourite winter beer, Lions Winter Ale, a brand new Cranberry Orange Wheat Ale, West Coast IPA and German-Style Pilsner.
"
GRANVILLE ISLAND - ENGLISH BAY ALE CAN,Canada,$11.99,/product/151363,5%,Pale Ale,Domestic Beer - National Domestic Beer,"Prominent caramel malt sweetness and low bitterness results in an easy-drinking, approachable ale with lots of flavour and spicy roasted notes.
"
GRANVILLE ISLAND - ISLAND CERVEZA TALL CAN,Canada,$10.99,/product/111776,4.5%,Lager,Domestic Beer - National Domestic Beer,"Exceptionally crisp, smooth and light tasting lager. Brewed Cuban style with real cane sugar and sublte rum notes."
GRANVILLE ISLAND - LIONS WINTER ALE CAN,Canada,$11.99,/product/879197,5.5%,Brown Ale,Domestic Beer - National Domestic Beer,"Roasted flavours matched with layers of sweet chocolate, vanilla & toffee. Can compliment a rich and sweet dessert or contrast salty and briny dishes.
"
GRANVILLE ISLAND - NORTHWEST PALE ALE TALL CAN,Canada,$11.29,/product/194319,5.3%,Pale Ale,Domestic Beer - National Domestic Beer,"Inspired by classic American Pale Ales, Granville’s Northwest Pale Ale blends Cascade and Centennial hops to create a most drinkable beer that is hop-forward, yet not over-the-top, with big citrus flavour and a full floral aroma."
GRANVILLE ISLAND - SIP EASY CAN,Canada,$10.99,/product/92773,4.3%,Lager,Domestic Beer - National Domestic Beer,"Supremely sessionable and refreshing, Sip Easy Lager is the ideal balance between full flavour and easy drinking. It's no compromises, no concessions � just 120 calories per serving, it's crafted for those who just want to keep it easy.
"
GRANVILLE ISLAND - WEST COAST IPA CAN,Canada,$12.49,/product/151355,6.5%,Pale Ale,Domestic Beer - National Domestic Beer,"West Coast IPA is full of bright, punchy hop flavours and is rounded out by a subtle malt character. The hops deliver a fruity, floral, citrus mix of flavours with tropical notes.
"
GRANVILLE ISLAND - WEST COAST IPA TALL CAN,Canada,$11.79,/product/222740,6.5%,India Pale Ale,Domestic Beer - National Domestic Beer,"West Coast IPA is full of bright, punchy hop flavours and is rounded out by a subtle malt character. The hops deliver a fruity, floral, citrus mix of flavours with tropical notes."
GREAT WESTERN - ORIGINAL 16 PRAIRIE WHITE TALL CAN,Canada,$2.09,/product/175834,4.8%,Belgian Ale,Domestic Beer - Outside of BC Beer,"Following the tradition and standards set by Original 16 founders, Prairie White is patiently brewed from Saskatchewan two-row barley, spring wheat and choice hop varietals. Adding the zest of premium oranges and Saskatchewan coriander creates refreshing citrus notes with a subtle spice. Its slightly cloudy appearance is proof that we’d never filter out the rich, complex flavours.
"
GROLSCH PREMIUM PILSNER TALL CAN,Netherlands,$2.29,/product/535294,5%,Lager,Import Beer,"Medium gold colour; rich grain and hop aromas with hints of spice; rich, smooth and balanced with refreshing hoppy character.
"
GROLSCH PREMIUM PILSNER- 4 PACK,Netherlands,$11.79,/product/11536,5%,Pilsner,Import Beer,"Medium gold colour; rich grain and hop aromas with hints of spice; rich, smooth and balanced with refreshing hoppy character.
"
GROLSCH PREMIUM PILSNER- 6 PACK,Netherlands,$12.49,/product/407205,5%,Lager,Import Beer,"Medium gold colour; rich grain and hop aromas with hints of spice; rich, smooth and balanced with refreshing hoppy character.
"
GUINNESS PUB DRAUGHT CAN,Ireland,$22.99,/product/554469,4.2%,Stout,Import Beer,"Guinness’ taste is a unique balance of the sweetness of the malt, the bitterness of the hops and the distinctive richness of roasted barley.​
"
GUINNESS PUB DRAUGHT CAN,Ireland,$12.49,/product/296244,4.2%,Stout,Import Beer,"Guinness is rich and creamy with roasted coffee, bitter and barley sweetness that are balanced in the smooth and refined flavour profile 
"
GUINNESS PUB DRAUGHT TALL CAN,Ireland,$2.99,/product/787416,4.2%,Stout,Import Beer,"This beer features notes of roasted coffee beans and dark chocolate. Full bodied and creamy, an Irish classic!
"
HACKER PSCHORR MUNICH GOLD TALL CAN,Germany,$2.59,/product/210468,5.5%,Lager,Import Beer,No info
HARP LAGER TALL CAN .,Ireland,$2.29,/product/819821,5%,Lager,Import Beer,"From the makers of Guinness, A gold coloured Irish lager with a clean rich taste. Bright pale golden; fruity nose; crisp and clean, slightly bitter up front, smooth aftertaste.
"
HEINEKEN 0.0%,Netherlands,$10.99,/product/208002,0%,No info,De-Alcoholized Beer,"Starting with natural beer ingredients: water, barley, malt and natural flavoured hop extract, Heineken 0.0 is twice brewed with Heineken's unique A-yeast. The alcohol is gently removed in a natural process and the dealcoholized brew is blended to achieve a unique fruity flavour with slight malty notes. 
"
HEINEKEN LAGER,Netherlands,$27.79,/product/531392,5%,Lager,Import Beer,"Brewed in Holland according to the original recipe, Heineken's distinctive flavour offers a refreshing European taste that has made it a favourite all over the world.
"
HEINEKEN LAGER,Netherlands,$13.99,/product/18,5%,Lager,Import Beer,"Brewed in Holland according to the original recipe, Heineken's distinctive flavour offers a refreshing European taste that has made it a favourite all over the world.
"
HEINEKEN LAGER,Netherlands,$36.39,/product/523720,5%,Lager,Import Beer,"Brewed in Holland according to the original recipe, Heineken's distinctive flavour offers a refreshing European taste that has made it a favourite all over the world.
"
HEINEKEN LAGER CAN,Netherlands,$14.29,/product/71126,5%,Lager,Import Beer,"Brewed in Holland according to the original recipe, Heineken's distinctive flavour offers a refreshing European taste that has made it a favourite all over the world.
"
HEINEKEN LAGER CAN,Netherlands,$27.79,/product/695106,5%,Lager,Import Beer,"Brewed in Holland according to the original recipe, Heineken's distinctive flavour offers a refreshing European taste that has made it a favourite all over the world.
"
HEINEKEN LAGER TALL CAN,Netherlands,$2.99,/product/337949,5%,Lager,Import Beer,"Brewed in Holland according to the original recipe, Heineken's distinctive flavour offers a refreshing European taste that has made it a favourite all over the world.
"
HOEGAARDEN,Belgium,$14.29,/product/554089,5%,Wheat,Import Beer,"Top fermented white beer spiced with coriander and curacao orange peels. It has a heady, spicy nose with a soft and delightful sour and sweet taste.
"
HOLLANDIA PREMIUM LAGER CANS,Netherlands,$11.29,/product/392290,5%,Lager,Import Beer,"Brewed in the traditional style, this Dutch lager pours gold and clear with a medium white head; the nose offers aromas of citrus and cereal. The palate is medium bodied and dry with light bitterness and flavours of citrus and tea on a refreshing finish.
"
HOLSTEN ALCOHOL FREE,Germany,$9.99,/product/397653,0.15%,No info,De-Alcoholized Beer,No info
HOLSTEN FESTBOCK TALL CAN,Germany,$2.29,/product/334276,7%,Bock,Import Beer,"A Hamburg brewery, you won't find Holsten in a Munich Festhalle, but trying this festbock might be a good way to get into an Oktoberfest mood. Rich and malty with caramel and toffee tinges, this amber beer is the German equivalent to a scottish ale.
"
HOLSTEN MAIBOCK TALL CAN,Germany,$2.29,/product/432856,7.5%,Bock,Import Beer,No info
HOLSTEN PREMIUM TALL CAN,Germany,$1.99,/product/288365,5.2%,Pilsner,Import Beer,No info
HOWE SOUND - HOPRAISER WEST COAST IPA TALL CAN,Canada,$3.29,/product/8982,6%,India Pale Ale,Domestic Beer - BC Craft Beer,No info
HOWE SOUND - LAGER CAN,Canada,$9.79,/product/152363,5.4%,Lager,Domestic Beer - BC Craft Beer,"A crisp and refreshing San Francisco-style lager.
"
HOWE SOUND - PUMPKINEATER IMPERIAL PUMPKIN ALE TALL CAN,Canada,$3.79,/product/79580,8%,Porter,Domestic Beer - BC Craft Beer,No info
HOWE SOUND - RAIL ALE NUT BROWN TALL CAN,Canada,$2.79,/product/8910,5%,Brown Ale,Domestic Beer - BC Craft Beer,No info
HOWE SOUND - SKY PILOT PALE ALE,Canada,$11.99,/product/36132,5%,Pale Ale,Domestic Beer - BC Craft Beer,"An American favourite style with a citrus aroma.
"
HOYNE BREWING - DARK MATTER,Canada,$13.49,/product/198430,5.3%,Brown Ale,Domestic Beer - BC Craft Beer,"Deep, Deceptively Dark, Delicious! Is it a Stout? Is it a Brown? Is it a Porter? Dark mahogany session ale with a soft palate and light body. Nutty chocolate aromas lead to deep, dark malt balanced by subtle hops.
"
HOYNE BREWING - FINNEGANS IRISH STOUT 650 ML,Canada,$5.99,/product/225670,5.1%,Stout,Domestic Beer - BC Craft Beer,"This Irish stout shows roasted caramel malts, dark cocoa nibs, fresh ground coffee and a touch of floral hops to refresh the palate 
"
HOYNE BREWING - IPA,Canada,$5.99,/product/162969,6.3%,India Pale Ale,Domestic Beer - BC Craft Beer,"Big additions of Idaho 7, El Dorado and Azacca hops make this tropical IPA extra juicy. Brewed with the addition of wheat in the North East-style, with a balance of hops, malt and mouthfeel. Named for the class of chemical compounds that are the source of hop bitterness, this IPA appeals to the experienced craft beer drinker who appreciates the best ingredients, good execution and consistent quality.
"
HOYNE BREWING - PILSNER,Canada,$13.29,/product/198435,5.3%,Pilsner,Domestic Beer - BC Craft Beer,"A pale golden lager with a rich head and creamy mouthfeel. This classic lager is made in the East European style using a yeast strain from a Czech brewery. It is full-bodied, with complex malts and a refined hop character, finished with Czech Saaz hops for a crisp, spicy finish. Pair with fish and chips, sashimi, fresh oysters or margherita pizza.
"
INEDIT DAMM TALL CAN,Spain,$2.99,/product/167880,4.8%,Lager,Import Beer,"Featuring barley malt, wheat, hops, coriander, orange peel, and yeast, this stroke of master blending offers uniquely fruity and floral aromas with a slightly cloudy appearance. Its creamy and fresh texture paired with a delicate carbonation give it a refreshing, light taste and a long aftertaste.
"
INNIS AND GUNN - THE ORIGINAL,United Kingdom,$15.79,/product/191957,6.6%,Amber Ale,Import Beer,"This barrel aged, amber-style beer boasts a rich assortment of flavours on the palate. Toffee, vanilla, roasted malt and a touch of balancing oak spice make this a Scottish delight. 
"
INNIS AND GUNN LAGER TALL CAN,United Kingdom,$2.69,/product/842542,4.6%,Lager,Import Beer,"Multi award-winning and carefully crafted to be refreshing and full-flavoured, by adding zesty aromatic hops and naked golden oats to the brew. Clear, bright pale gold with aromas of fresh lemon and dried herb. On the palate, lightly carbonated with flavours of crisp citrus, light cereal and a hint of hop bitterness.
"
IRISH BEER HERITAGE PACK TALL CAN,Ireland,$22.99,/product/676668,4.5%,No info,Import Beer,"Indulge in the world of Irish brews with this discovery pack featuring the classic Guinness, Kilkenny, Smithwick’s Ale and Harp. 
"
JOSE CUERVO MARGARITA MIX,USA,$4.99,/product/303917,0.1%,No info,De-Alcoholized Beer,"With the Jose Cuervo Classic Lime Margarita Mix you can create your favorite drinks at your next party. Just add your favourite Jose Cuervo tequila and enjoy. It is non-alcoholic and best serve on ice or blended with crushed ice.
"
KARMELIET TRIPEL,Belgium,$4.49,/product/72793,8%,Strong Ale,Import Beer,"This bottle conditioned, three grained beer owes its fruity character to the home-cultured yeast. Its citrus nose  is derived from the hops. The lightness and freshness comes from the wheat while the creaminess stems from the oats. The citrus aromas and ripe fruit character pair perfectly with most cuisine.
"
KEYSTONE - LAGER CAN,Canada,$20.99,/product/641407,4.9%,Lager,Domestic Beer - National Domestic Beer,"Brewed according to the quality standards of Coors Brewing Company, Golden Colorado, U.S.A. Keystone Light is affordable beer that is always smooth from start to finish.
"
KILKENNY IRISH CREAM ALE DRAUGHT TALL CAN,Ireland,$11.99,/product/793810,4.3%,Cream Ale,Import Beer,"This nitrogenized Irish cream ale has caramel sweetness, roasted malt and a slight hop- induced bitterness on the finish with a frothy and creamy texture 
"
KIRIN ICHIBAN,Canada,$13.29,/product/76527,5%,Lager,Domestic Beer - National Domestic Beer,No info
KONA BREWING - BIG WAVE GOLDEN ALE,USA,$15.79,/product/641522,4.4%,Blonde Ale,Import Beer,"A lighter-bodied golden ale with a tropical hop aroma and flavour—smooth, easy drinking and refreshing. The use of caramel malt contributes to the golden hue of this beer and their special blend of hops provide a bright, quenching finish that makes it a struggle to not grab another one. 
"
KONIG LUDWIG WEISSBIER,Germany,$3.49,/product/11692,5.5%,Wheat,Import Beer,"Royal Bavarian Hefe-Weizen, a refreshing pale wheat beer with a full-bodied, lively taste perfectly balanced with complex fruity beer aromas. From the originators of the Bavarian purity law from 1516 and the founding family of the Oktoberfest.
"
KOZEL PREMIUM TALL CAN,Czech Republic,$2.19,/product/881144,4.9%,Pilsner,Import Beer,"Appearance: Pale yellow, perfect sparkle. Aroma: Gentle malt and hop aromas, touch of fruit flavour at the first sniff. Taste: Well-balanced bitter and sweet taste. Mouthfeel: Medium-bodied. Finish: Well-balanced finish.
"
KRONENBOURG 1664,France,$13.79,/product/6106,5%,Lager,Import Beer,No info
KRONENBOURG 1664 BLANC,France,$13.99,/product/157495,5%,Wheat,Import Beer,No info
KRONENBOURG 1664 BLANC 0.5,France,$10.99,/product/155724,0.5%,No info,De-Alcoholized Beer,"Kronenbourg Blanc 0.5% is a premium non-alcoholic beer with a delicious and refreshing taste. It is brewed to have the same timeless taste as our regular Kronenbourg Blanc, but with only 0.5% alcohol.  All of this makes for a refreshing wheat beer with a timeless taste profile. Our Brewmasters say this beer has a fruity and fresh character, with citrus and spicy notes of coriander. It is perfectly balanced with a rich malty body and a subtle sweetness.
"
KRONENBOURG 1664 BLANC FRUITS ROUGES CAN,France,$2.59,/product/116512,4.5%,Wheat,Import Beer,"Kronenbourg 1664 Blanc Fruits Rouges is a high quality wheat beer that stimulates the senses with its delicately pink body, raspberry aromas, and unique blend of intense fruit and spice. It’s original and very complex fruitiness is characterized by exotic fruit flavours with subtle notes of white peach and coriander. Resulting in the perfect balance between the freshness of a wheat beer and fruity raspberry notes for a very refreshing and smooth taste.
"
KRONENBOURG 1664 BLANC TALL CAN,France,$2.59,/product/685594,5%,Wheat,Import Beer,No info
LABATT -  ROLLING ROCK CAN,Canada,$22.99,/product/752410,4.5%,Lager,Domestic Beer - National Domestic Beer,"A balanced, light to medium-bodied lager with a unique and flavourful malt character that lends to its distinctive taste and subtle hop finish. Made from the finest pale barley malts with the perfect blend of hops, rice, corn and water. Nose: Earthy smoky peat and salty ocean breeze. Palate: Pungent peat smoke, chewy sweet malt, pepper, tar and a touch of iodine. Finish: Long and warming. Smoky ashes of the peat fire. 
"
LABATT - BLUE CAN,Canada,$36.99,/product/906313,5%,Pilsner,Domestic Beer - National Domestic Beer,"A well balanced, full flavoured lager, with a fruity character and a slightly sweet after-taste. Labatt Blue is fermented at colder temperatures, providing a clean refreshing experience with a very smooth finish.
"
LABATT - BLUE CAN,Canada,$22.99,/product/935155,5%,Pilsner,Domestic Beer - National Domestic Beer,"A well balanced, full flavoured lager, with a fruity character and a slightly sweet after-taste. Labatt Blue is fermented at colder temperatures, providing a clean refreshing experience with a very smooth finish.
"
LABATT - BUD LIGHT BAG 24 CAN,Canada,$38.99,/product/17988,4%,Lager,Domestic Beer - National Domestic Beer,No info
LABATT - BUD LIGHT CAN,Canada,$52.99,/product/72959,4%,Other,Domestic Beer - National Domestic Beer,"Bud Light is brewed longer for a refreshingly easy-drinking taste, using a blend of rice and malted barley to give it a clean aroma and crisp, smooth finish. Only the finest ingredients are used: water, barley malt, rice, hops and yeast. 
"
LABATT - BUD LIGHT CAN,Canada,$13.99,/product/132274,4%,Other,Domestic Beer - National Domestic Beer,No info
LABATT - BUD LIGHT CAN,Canada,$20.99,/product/760843,4%,Other,Domestic Beer - National Domestic Beer,No info
LABATT - BUD LIGHT CAN,Canada,$38.99,/product/204115,4%,Lager,Domestic Beer - National Domestic Beer,"Bud Light is brewed longer, for a refreshingly easy drinking taste, using a blend of rice and malted barley to give it a clean aroma and crisp, smooth finish. Only the finest ingredients are used: water, barley malt, rice, hops and yeast. 
"
LABATT - BUD LIGHT CAN,Canada,$24.99,/product/683847,4%,Lager,Domestic Beer - National Domestic Beer,"Crisp, light and refreshing. Made from rice and malted barley this is easy to drink with any game food 
"
LABATT - BUD LIGHT IN-CASE PROMO PACK,Canada,$38.99,/product/12883,4%,Lager,Domestic Beer - National Domestic Beer,"Bud Light is brewed longer for a refreshingly easy-drinking taste, using a blend of rice and malted barley to give it a clean aroma and crisp, smooth finish. Only the finest ingredients are used: water, barley malt, rice, hops and yeast. 
"
LABATT - BUD LIGHT LIME CAN,Canada,$24.99,/product/863944,4%,Lager,Domestic Beer - National Domestic Beer,"American Style light flavoured lager. Delicate malt sweetness with a crisp, clean finish and the taste of fresh squeezed lime for ultimate refreshment.
"
LABATT - BUD LIGHT ORANGE CAN,Canada,$24.99,/product/222956,4%,Lager,Domestic Beer - National Domestic Beer,"Combines Bud Light’s smooth, easy-drinking taste with a fresh and fragrant burst of Orange. Bud Light Orange pours a sunny golden hue with a bright clarity, so it looks, feels and tastes like summer.
"
LABATT - BUD LIGHT STRAWBERRY LEMONADE CAN,Canada,$24.99,/product/9293,4%,Lager,Domestic Beer - National Domestic Beer,"Combines Bud Light�s smooth, easy-drinking taste with a fresh burst of Strawberry Lemonade flavour.
"
LABATT - BUDWEISER,Canada,$23.29,/product/902627,5%,Lager,Domestic Beer - National Domestic Beer,"An American lager that is beechwood-aged. This aging process results in a crisp, clean and distinctive flavour. Rice, the differentiating ingredient in Budweiser, provides a lighter drinking lager.
"
LABATT - BUDWEISER,Canada,$33.99,/product/903351,5%,Lager,Domestic Beer - National Domestic Beer,"An American lager that is beechwood-aged. This aging process results in a crisp, clean and distinctive flavour. Rice, the differentiating ingredient in Budweiser, provides a lighter drinking lager.
"
LABATT - BUDWEISER 740ML CAN,Canada,$3.99,/product/756155,5%,Lager,Domestic Beer - National Domestic Beer,"An American lager that is beechwood-aged. This aging process results in a crisp, clean and distinctive flavour. Rice, the differentiating ingredient in Budweiser, provides a lighter drinking lager.
"
LABATT - BUDWEISER CAN,Canada,$32.29,/product/111732,5%,Other,Domestic Beer - National Domestic Beer,No info
LABATT - BUDWEISER CAN,Canada,$52.99,/product/521609,5%,Lager,Domestic Beer - National Domestic Beer,"An American lager that is beechwood-aged. This aging process results in a crisp, clean and distinctive flavour. Rice, the differentiating ingredient in Budweiser, provides a lighter drinking lager.
"
LABATT - BUDWEISER CAN,Canada,$13.99,/product/687368,5%,Lager,Domestic Beer - National Domestic Beer,"An American lager that is beechwood-aged. This aging process results in a crisp, clean and distinctive flavour. Rice, the differentiating ingredient in Budweiser, provides a lighter drinking lager.
"
LABATT - BUDWEISER CAN,Canada,$20.99,/product/850818,5%,Lager,Domestic Beer - National Domestic Beer,"An American lager that is beechwood-aged. This aging process results in a crisp, clean and distinctive flavour. Rice, the differentiating ingredient in Budweiser, provides a lighter drinking lager.
"
LABATT - BUDWEISER CAN,Canada,$11.79,/product/904334,5%,Lager,Domestic Beer - National Domestic Beer,"An American lager that is beechwood-aged. This aging process results in a crisp, clean and distinctive flavour. Rice, the differentiating ingredient in Budweiser, provides a lighter drinking lager.
"
LABATT - BUDWEISER CAN,Canada,$24.99,/product/925222,5%,Lager,Domestic Beer - National Domestic Beer,"An American lager that is beechwood-aged. This aging process results in a crisp, clean and distinctive flavour. Rice, the differentiating ingredient in Budweiser, provides a lighter drinking lager.
"
LABATT - BUDWEISER CAN,Canada,$38.99,/product/906354,5%,Lager,Domestic Beer - National Domestic Beer,"An American lager that is beechwood-aged. This aging process results in a crisp, clean and distinctive flavour. Rice, the differentiating ingredient in Budweiser, provides a lighter drinking lager.
"
LABATT - BUDWEISER CAN 30 PK,Canada,$45.79,/product/694323,5%,Pilsner,Domestic Beer - National Domestic Beer,No info
LABATT - BUDWEISER IN-CASE,Canada,$38.99,/product/12875,5%,Lager,Domestic Beer - National Domestic Beer,"An American lager that is beechwood-aged. This aging process results in a crisp, clean and distinctive flavour. Rice, the differentiating ingredient in Budweiser, provides a lighter drinking lager.
"
LABATT - BUDWEISER NITRO GOLD 12 CAN,USA,$24.99,/product/13406,5%,Lager,Import Beer,"�Budweiser Nitro Gold - a specialty golden lager brewed with 100% barley including toasted caramel malt for a bold, flavorful taste elevated with nitro for a delicious draught-like drinking experience, a thick creamy head of foam and a silky smooth finish.
"
LABATT - BUDWEISER PROHIBITION BREW NON-ALCOHOLIC CAN,Canada,$9.29,/product/290007,0.1%,No info,De-Alcoholized Beer,"Brewed with the signature Budweiser ingredients from the choicest hops, rice and best barley malt, Budweiser Prohibition Brew delivers the great taste and crisp finish of Budweiser, just without the alcohol, and delivers a smoothness and drinkability perfect for every occasion
"
LABATT - BUDWEISER ZERO,Canada,$9.29,/product/38346,0.01%,No info,De-Alcoholized Beer,No info
LABATT - BUSCH  CAN,Canada,$20.99,/product/411447,4.7%,Lager,Domestic Beer - National Domestic Beer,"First introduced in 1955, Busch is an American-style lager brewed, fermented and aged to create a smooth, refreshing taste. Brewed in Canada with the Anheuser-Busch tradition of excellence.
"
LABATT - BUSCH 8 CANS,Canada,$12.29,/product/78246,4.7%,Other,Domestic Beer - National Domestic Beer,No info
LABATT - BUSCH CAN,Canada,$32.99,/product/283143,4.7%,Lager,Domestic Beer - National Domestic Beer,"First introduced in 1955, Busch is brewed, fermented and aged to create a smooth, refreshing taste at 4.7% alcohol by volume. Busch is an American-style lager, brewed in Canada with the Anheuser-Busch tradition of excellence
"
LABATT - BUSCH CAN,Canada,$32.99,/product/222959,5%,Lager,Domestic Beer - National Domestic Beer,"First introduced in 1955, Busch is an American-style lager brewed, fermented and aged to create a smooth, refreshing taste. Brewed in Canada with the Anheuser-Busch tradition of excellence.
"
LABATT - BUSCH ICE CAN,Canada,$20.99,/product/61606,6%,Lager,Domestic Beer - National Domestic Beer,"This American-style lager combines the smooth and refreshing taste of Busch with full bodied flavour.
"
LABATT - GENUINE LAGER CAN,Canada,$36.99,/product/914051,5%,Lager,Domestic Beer - National Domestic Beer,"Produced through a distinctive cold filtering process which eliminates the need for heat pasteurization. It is naturally aged, clear with a smooth, clean taste.
"
LABATT - KOKANEE,Canada,$33.99,/product/915199,5%,Pilsner,Domestic Beer - National Domestic Beer,"A Canadian lager brewed in the BC interior, where glacier rivers flow from pristine mountain tops. Kokanee is fermented at colder temperatures, providing a clean refreshing experience with a very smooth finish.
"
LABATT - KOKANEE,Canada,$23.29,/product/903187,5%,Pilsner,Domestic Beer - National Domestic Beer,"A Canadian lager brewed in the B.C. interior, where glacier rivers flow from pristine mountain tops. Kokanee is fermented at colder temperatures, providing a clean refreshing experience with a very smooth finish.
"
LABATT - KOKANEE CAN,Canada,$11.79,/product/904664,5%,Pilsner,Domestic Beer - National Domestic Beer,"A Canadian lager brewed in the BC interior, where glacier rivers flow from pristine mountain tops. Kokanee is fermented at colder temperatures, providing a clean refreshing experience with a very smooth finish.
"
LABATT - KOKANEE CAN,Canada,$38.99,/product/919373,5%,Pilsner,Domestic Beer - National Domestic Beer,"A Canadian lager brewed in the BC interior, where glacier rivers flow from pristine mountain tops. Kokanee is fermented at colder temperatures, providing a clean refreshing experience with a very smooth finish.
"
LABATT - KOKANEE CAN,Canada,$38.99,/product/182238,5%,Lager,Domestic Beer - National Domestic Beer,"A Canadian lager brewed in the BC interior, where glacier rivers flow from pristine mountain tops. Kokanee is fermented at colder temperatures, providing a clean refreshing experience with a very smooth finish.
"
LABATT - KOKANEE CAN,Canada,$24.99,/product/945543,5%,Pilsner,Domestic Beer - National Domestic Beer,"A Canadian lager brewed in the B.C. interior, where glacier rivers flow from pristine mountain tops. Kokanee is fermented at colder temperatures, providing a clean refreshing experience with a very smooth finish.
"
LABATT - KOKANEE TALL CAN,Canada,$24.99,/product/102919,5%,Lager,Domestic Beer - National Domestic Beer,No info
LABATT - KOOTENAY TRUE ALE CAN,Canada,$7.99,/product/909101,5%,Red Ale,Domestic Beer - National Domestic Beer,"Originated in British Columbia, Canada, this medium-bodied beer has a clean combination of black licorice or peppery/ spicy type ester character, a citrus fruity hop character with a slight malty aftertaste.
"
LABATT - LUCKY LAGER,Canada,$22.99,/product/903294,5%,Lager,Domestic Beer - National Domestic Beer,"Lucky has been quality brewed in the tradition of a classic Canadian lager since 1934. With no preservatives, only 4.8% alcohol, Lucky is a lighter tasting, easy drinking beer that has stood the test of time.
"
