name,country,price,sku_link,alc,style,beer_type,desc
BELGIAN MOON - MANGO WHEAT TALL CAN,Canada,$11.49,/product/101624,5.4%,Wheat,Domestic Beer - National Domestic Beer,"A cloudy yellow-orange appearance with a rich, white head. Aromas of mango and light honeyed-biscuits, with ripe mango flavours and a biscuity malt with hints of clove and honey. Finishes qucik and dry with some mango notes lingering.
"
BELGIAN MOON - WHITE ALE 4 TALL CAN,Canada,$11.49,/product/183512,5.45%,Wheat,Domestic Beer - National Domestic Beer,No info
BIG ROCK - TRADITIONAL ALE CAN 15 PACK,Canada,$23.49,/product/162057,5%,Brown Ale,Domestic Beer - BC Craft Beer,"Toasty malt and sweet caramel up front finishing with a nutty flavour, medium creamy carbonation, and mild hop bitterness.
"
BIG ROCK - VARIETY 15 CAN PACK,Canada,$26.79,/product/82382,5%,Variety Pack,Domestic Beer - BC Craft Beer,"This 15-can variety features 5 beer styles the new Craft Lager and Jackrabbit Light Lager, and the signature favourites of Grasshopper Wheat Ale, Pilsner and Session IPA.
"
BITBURGER PREMIUM TALL CAN,Germany,$2.19,/product/394536,4.8%,Pilsner,Import Beer,"Bitburger is a classic pilsner from Germany's Rhineland. Light, aromatic and clean-tasting, it opens with a round, sweet maltiness followed by a dry, hoppy finish.
"
BOMBER BREWING - MIXED PACK CAN,Canada,$22.79,/product/483941,5.4%,Variety Pack,Domestic Beer - BC Craft Beer,"The Bomber Mix Pack features a selection of three award winning beers, including the Bomber IPA, Pale Ale and Pilsner."
BOMBER BREWING - PARK LIFE PASSION FRUIT ALE CAN,Canada,$12.29,/product/675462,4.5%,Fruit Ale,Domestic Beer - BC Craft Beer,"A refreshing Blonde Ale infused with passion fruit for a crisp tart flavour and full tropical aroma.
"
BOMBER BREWING - SKYLINE LAGER 6PK CANS,Canada,$12.29,/product/233406,5%,Lager,Domestic Beer - BC Craft Beer,No info
BOWEN ISLAND - ARTISAN IPA CAN,Canada,$8.99,/product/12757,5.5%,India Pale Ale,Domestic Beer - BC Craft Beer,"The shipyard is alive with the sounds of artisans at their task. The boat wood's floral and citrus fragrances swirl through a solid framework, planed smooth and perfectly balanced.  A rich golden colour sets off the final details.  Artisans build it best.
"
BOWEN ISLAND - COASTLINE PALE ALE,Canada,$8.99,/product/132902,5%,Pale Ale,Domestic Beer - BC Craft Beer,"All along the west coast of Cascadia, where fir and cedar forests dip their roots into the Pacific Ocean, a family of bears winds its way.  They sniff at grasses and ferns, and they play in the waves and the refreshing sea spray. Follow the Coastline.
"
BOWEN ISLAND - HARBOUR PACK #2,Canada,$16.49,/product/495283,5%,Variety Pack,Domestic Beer - BC Craft Beer,"From the artisans hard at work in the ship yard to the westcoast waters floating a timber raft, to the coastline where fir and cedar forests dip into the ocean and where the wave crasher kayaker challenges the rolling surf – grab a taste of Bowen Island!
"
BOWEN ISLAND - WEST COAST LAGER,Canada,$8.49,/product/488379,5%,Lager,Domestic Beer - BC Craft Beer,"The trees are felled and de-limbed and rolled into the inlet. The logs are bound together and driven through the crisp waters of the strait. A mellow timber aroma drifts with the raft, mixing with the refreshing sea breeze. Float with a Westcoast Lager.
"
BRAVA - CAN,Canada,$20.99,/product/222794,5.5%,Lager,Domestic Beer - National Domestic Beer,"Brava is a premium lager that is brewed in small batches using only the finest, hand-selected hops and barley. The result is a light, crisp, distinctive lager that is easy drinking and very refreshing.
"
BRIDGE BREWING - BLOOD ORANGE BOURBON  WHEAT ALE,Canada,$6.19,/product/848713,5.5%,Wheat,Domestic Beer - BC Craft Beer,"This American wheat ale is a crisp and refreshing beer, brewed with the addition of Bourbon and Blood Oranges. Zesty and floral, with a clean citrus flavour, this beer is ideal for any day.
"
BRIDGE BREWING - PRIMETIME CAN,Canada,$12.49,/product/82239,5%,Pale Ale,Domestic Beer - BC Craft Beer,"Light-bodied but with a nice hoppy taste, this BC craft beer boasts only 110 calories, 1.5 grams of carbs and still retains 5 percent alcohol! 
"
BRIDGE BREWING - PRIMETIME CAN,Canada,$23.99,/product/151710,5%,Pale Ale,Domestic Beer - BC Craft Beer,No info
BRIDGE BREWING - PRIMETIME IPA CAN,Canada,$12.49,/product/102114,5%,India Pale Ale,Domestic Beer - BC Craft Beer,No info
BRIO TALL CAN,Iceland,$1.99,/product/34033,4.8%,Pilsner,Import Beer,"Brio is a German-style pilsner brewed with the Bavarian Mittelfruher hops which give Brio its award-winning character that make it one of the world's best pilsners!
"
CANNERY BREWING - NARAMATA NUT BROWN ALE 6 CANS,Canada,$12.79,/product/772756,5.5%,Brown Ale,Domestic Beer - BC Craft Beer,"Naramata Nut Brown is a traditional English-Style Brown Ale. British and Canadian malted barley give this full bodied beer a velvety smooth mouth feel. Traditional English hops balance the malt sweetness and provide a rich, complex flavour.
"
CARIB LAGER,Trinidad And Tobago,$11.99,/product/328419,5.2%,Lager,Import Beer,No info
CARLSBERG,Denmark,$12.49,/product/479857,5%,Pilsner,Import Beer,"Carlsberg is a well-proportioned bottom-fermented lager beer with a flavour of hops, grains, pine needles, sorrel and Danish summer apples. The bitterness of the hops and the apple-like sweetness provide a harmoniously balanced taste. Carlsberg Pilsner goes well with Asian foods, buffets, vegetable or fish soups, lightly seasoned fish dishes and in particular roast meat with gravy.
"
CARLSBERG SNAP PACK CAN,Denmark,$12.49,/product/91626,5%,Lager,Import Beer,"Introducing Snap Pack - Same great pilsner, new packaging which uses an innovative glue technology to help reduce waste from multipacks.  Using less material also reduces CO2 emissions and reliance on fossil glue-based packaging materials such as plastic.
"
CARLSBERG TALL CAN,Denmark,$2.29,/product/276188,5%,Pilsner,Import Beer,"A refreshing and uniquely characterful Danish premium pilsner with a malty backbone and balanced bitterness.  Bottom fermented lager beer: the first of its kind using pure yeast.
"
CATEGORY 12 BREWING - CHROMATIC IPA TALL CAN,Canada,$13.29,/product/102035,7%,India Pale Ale,Domestic Beer - BC Craft Beer,No info
CATEGORY 12 BREWING - JUICY DATA HAZY IPA TALL CAN,Canada,$14.29,/product/234334,6%,India Pale Ale,Domestic Beer - BC Craft Beer,"This naturally hazy, double dry-hopped IPA is bursting with tropical fruit, passionfruit, peach, grapefruit, and citrus flavours, and is brewed with four hop varieties. The palate is full-bodied with a creamy texture and noticeable bitterness on the finish. This is the perfect choice for any fan of hazy IPA’s.
"
CENTRAL CITY - BEER LEAGUE LAGER CAN,Canada,$12.99,/product/102622,5%,Lager,Domestic Beer - BC Craft Beer,No info
CENTRAL CITY - RED RACER REIGN OF HOPS MIX PACK 500,Canada,$25.99,/product/170741,5.2%,Variety Pack,Domestic Beer - BC Craft Beer,"Enjoy four of your favourite Red Racer beers in one hoppy pack! Includes Session IPA, Northwest Pale Ale, IPA and now with the popular Super Solar IPA.
"
CENTRAL CITY - RED RACER SESSION IPA 500 12PK,Canada,$24.29,/product/127109,4%,India Pale Ale,Domestic Beer - BC Craft Beer,"Mosaic hops lend to this light and fruity ale with a good bitterness and malt balance, coupled with refreshing hops aromatics. Red Racer India Session Ale is big on flavour, yet light in alcohol.
"
CLAUSTHALER PREMIUM,Germany,$5.99,/product/722355,0.5%,No info,De-Alcoholized Beer,No info
COLUMBIA - APEX ELEVATION CRAFT LAGER CAN,Canada,$19.99,/product/78475,5%,Lager,Domestic Beer - National Domestic Beer,"Brewed in the heart of the Kootenays at the Columbia Brewery, Apex Elevation Lager took inspiration from the snowy mountain peaks, and translated that into a crisp and refreshing craft lager. Apex Elevation Lager is brewed with Amarillo and Cascade hops, and without the use of adjuncts. A clean, easy-drinking, flavourful lager.
"
COLUMBIA - KOKANEE CAN,Canada,$52.99,/product/781542,5%,Pilsner,Domestic Beer - National Domestic Beer,No info
COORS LIGHT - MINI CAN,Canada,$4.99,/product/37776,4%,Lager,Domestic Beer - National Domestic Beer,No info
COORS ORGANIC CAN,Canada,$12.79,/product/57910,3.8%,Lager,Domestic Beer - National Domestic Beer,No info
COORS ORIGINAL,Canada,$24.49,/product/111942,5%,Lager,Domestic Beer - National Domestic Beer,No info
COORS ORIGINAL CAN,Canada,$14.79,/product/111939,5%,Lager,Domestic Beer - National Domestic Beer,"Made with high quality ingredients, Coors Original is brewed for a full flavoured taste with a smooth finish. Well-balanced malty and fruity notes, low bitterness.
"
COORS ORIGINAL CAN,Canada,$25.99,/product/111933,5%,Lager,Domestic Beer - National Domestic Beer,"Made with high quality ingredients, Coors Original is brewed for a full flavoured taste with a smooth finish. Well-balanced malty and fruity notes, low bitterness.
"
COORS ORIGINAL CAN,Canada,$40.29,/product/111958,5%,Lager,Domestic Beer - National Domestic Beer,"Made with high quality ingredients, Coors Original is brewed for a full flavoured taste with a smooth finish. Well-balanced malty and fruity notes, low bitterness.
"
CORONA - LIGHT,Mexico,$14.29,/product/617720,3.7%,Lager,Import Beer,"Corona Light is a light bodied, dry, crisp and refreshing light beer. It is especially enjoyable with meals that call for simple, light refreshment. It is most appropriate for spicy, hot foods.
"
CORONA EXTRA,Mexico,$14.29,/product/186510,4.6%,Lager,Import Beer,"Corona is a premium beer, classic and authentic, recognized worldwide for its high quality, refreshing taste and image. Serve with a lime wedge for an unparalleled flavour of relaxation.
"
CORONA EXTRA,Mexico,$26.99,/product/515643,4.6%,Lager,Import Beer,"Corona is a premium beer, classic and authentic, recognized worldwide for its high quality, refreshing taste and image. Serve with a lime wedge for an unparalleled flavour of relaxation.
"
CORONA EXTRA,Mexico,$51.79,/product/574574,4.6%,Lager,Import Beer,"Corona is a premium beer, classic and authentic, recognized worldwide for its high quality, refreshing taste and image. Serve with a lime wedge for an unparalleled flavour of relaxation.
"
CORONA EXTRA - 28 BOTTLE,Mexico,$56.99,/product/66710,4.6%,Lager,Import Beer,No info
CORONA EXTRA - SLEEK CAN,Mexico,$14.29,/product/585083,4.6%,Lager,Import Beer,"Corona is a premium beer, classic and authentic, recognized worldwide for its high quality, refreshing taste and image. Serve with a lime wedge for an unparalleled flavour of relaxation.
"
CORONA EXTRA CAN,Mexico,$2.99,/product/144204,4.6%,Lager,Import Beer,"Corona is a premium beer, classic and authentic, recognized worldwide for its high quality, refreshing taste and image. Serve with a lime wedge for an unparalleled flavour of relaxation.
"
CORONA LIGHT - SLEEK CAN,Mexico,$26.79,/product/108657,3.4%,Lager,Import Beer,No info
CORONITAS,Mexico,$8.99,/product/294322,4.6%,Lager,Import Beer,No info
CZECHVAR,Czech Republic,$2.49,/product/591230,5%,Lager,Import Beer,"Czechvar lager has a think, rich head and markedly golden yellow colour.  The mild hop aroma balances well with the perfectly synchronized sweet-bitter taste.  The body is medium to robust, which makes the drinker feel like taking another sip. 
"
CZECHVAR LAGER,Czech Republic,$12.29,/product/445411,5%,Lager,Import Beer,"Czechvar pours a crystal clear golden colour. A light carbonation is evident as a few small bubbles rise to the surface after pouring. A delicate hop aroma creates the first sensation on the taste buds. Next an early hop bitterness comes through followed closely by a dry pale malty flavour that is mellowed by the soft mouth feel. This medium-bodied lager reveals an overall character that is clean and dry and that finishes slightly crisp. Overall a beer flavourful enough for a winter thirst reprieve but light enough to quench that heat-induced summer urge for a cold one.
"
DAB ORIGINAL TALL CAN,Germany,$2.29,/product/254946,5%,Pilsner,Import Beer,"This fresh, pale brew with its mildly hoppy flavour. It is a harmoniously balanced, crisp and easy-to-drink beer with pleasingly gentle notes of hops and malt. A very well-rounded taste profile with a soft and elegant texture.
"
DAGERAAD - BURNABARIAN TALL CAN,Canada,$12.29,/product/145926,4.5%,Belgian Ale,Domestic Beer - BC Craft Beer,"Great for drinking on a sunny patio or to knocking back after a long day’s work, Burnabarian is a table beer, or Belgian-style session ale. Named for the city that Dageraad calls home, Burnabarian is lightly spiced with coriander and is brewed with oats for a silky mouthfeel.
"
DAGERAAD BLONDE,Canada,$6.79,/product/669754,7.5%,Blonde Ale,Domestic Beer - BC Craft Beer,"Crowned with a fluffy, white head and graced with a fruity, spicy, citrusy aroma, Dageraad Blonde is the pride of our brewery. A closer inspection reveals a note of nutty pilsner malt, whiff of noble hops, faint note of caramelized sugar and a sweet, floral breath of alcohol.
"
DEAD FROG - AMAZING STONE FRUIT BRUT IPA,Canada,$5.79,/product/101323,6%,India Pale Ale,Domestic Beer - BC Craft Beer,"A fresh and fruity Brut IPA with juicy hops, real peach and apricot, and a bubbly, dry finish.
"
DEAD FROG - BLUEBERRY BLAST KETTLE SOUR,Canada,$5.79,/product/992875,5.9%,Sour,Domestic Beer - BC Craft Beer,"A crisp sour wheat ale bursting with flavours of lemon and freshly picked blueberries. A great combination for refreshing summer sipping. Limited production.
"
DEAD FROG - JUICE BOX SOUR MIXER TALL CAN,Canada,$19.99,/product/111685,5%,Variety Pack,Domestic Beer - BC Craft Beer,"8 talls cans of Sour Power!  Featuring the Peach Lemonade Kettle Sour, Raspberry Blast Kettle Sour, Warhead Imperial Kettle Sour, and SMS Strawberry Mint Sour.
"
DEEP COVE - MANGO PINEAPPLE SOUR TALL CAN,Canada,$13.79,/product/171226,4.5%,Sour,Domestic Beer - BC Craft Beer,This tropical fruit sour emits bold flavors of mango and pineapple and finishes with a tart juicy mouthfeel.
DESCHUTES - FRESH SQUEEZE IPA CANS,USA,$14.99,/product/189583,6.4%,Pale Ale,Import Beer,"This mouthwateringly delicious IPA gets its flavor from a heavy helping of Citra and Mosaic hops. Don't worry, no fruit was harmed in the making of this beer.
"
DESCHUTES - MIRROR POND PALE ALE CANS,USA,$14.79,/product/189586,5%,Pale Ale,Import Beer,"This refreshingly uncomplicated ale is crisp and clean with subtle hints of caramel. It is a delicious everyday ale that has a straightforward single-hop character, floral and citrus notes and smooth maltiness combined to deliver a timeless pale ale.
"
DESCHUTES - WOWZA LO-CAL HAZY PALE ALE CAN,USA,$14.49,/product/8081,4%,Pale Ale,Import Beer,"With only 100 calories, 4 g of carbs, 4% abv and a crisp,light finish ,this low cal full-flavored yet crushable citrusy hazy pale ale will make you say ""Wowza"".
"
DOS EQUIS XX ESPECIAL LAGER,Mexico,$13.99,/product/156174,4.6%,Lager,Import Beer,"Crisp and refreshing up-front. Light body, the palate is clean, dry grainy and very drinkable with an agreeable biscuit like malt flavor.
"
DRIFTWOOD BREWERY - FAT TUG IPA,Canada,$6.19,/product/844399,7%,India Pale Ale,Domestic Beer - BC Craft Beer,"Beer geeks love Driftwood Brewery, and justifiably so. Everything the Victoria brewery produces is excellent, but Fat Tug IPA is on a level all its own. Bursting with sweet, citrusy hop aromas and flavours, it doesn't get much better than this.
"
DRIFTWOOD BREWERY - FAT TUG IPA TALL CAN 4-PACK,Canada,$13.29,/product/127770,7%,India Pale Ale,Domestic Beer - BC Craft Beer,"A classic Northwest IPA, Fat Tug is balanced by a prodigious malt body that showcases the juicy hop character of Amarillo, Cascade and Columbus hop varieties.  Resinous aromas of pine, grapefruit and guava awaken the palate,
"
DRIFTWOOD BREWERY - RAISED BY WOLVES IPA TALL CAN 4-PACK,Canada,$13.29,/product/227433,7%,India Pale Ale,Domestic Beer - BC Craft Beer,No info
DRIFTWOOD BREWERY - SWASH BOX FALL VARIETY PACK TALL CAN,Canada,$23.29,/product/173570,6.8%,Other,Domestic Beer - BC Craft Beer,No info
DRIFTWOOD BREWERY - WHITE BARK WITBIER TALL CAN 4-PACK,Canada,$11.79,/product/127776,5%,Wheat,Domestic Beer - BC Craft Beer,"A traditional Belgian style witbier, White Bark is brewed with Belgian yeast, bitter orange peel, coriander and flaked wheat. Citrus and floral aromas dominate the nose of this dry and unique style of cloudy wheat ale.
"
ERDINGER - OKTOBERFEST PACK,Germany,$20.29,/product/413195,5.7%,Other,Import Beer,No info
ERDINGER - WEISSBIER,Germany,$3.49,/product/402230,5.3%,Wheat,Import Beer,No info
ERDINGER FOOTBALL PACK,Germany,$18.49,/product/28886,5.3%,Other,Import Beer,"The strength of this classic wheat beer lies in the harmonious balance it achieves between the various aromas. Gently spicy wheat and yeast aromas blend with mildly bitter hops. The invigorating carbon dioxide ensures its typical liveliness. A premium beer whose full-bodied yet elegant character leaves a lasting impression of ultimate Bavarian enjoyment. A truly unique wheat beer!
"
ESTRELLA DAMM TALL CAN,Spain,$2.29,/product/648261,5.4%,Lager,Import Beer,"Estrella Damm is a clean pouring golden lager that stands the test of time. Every sip features scents of fresh spices and smooth mouth feel with dense notes of toasted cereal, perfectly balanced by bitter back of mouth tones to give the pride of Barcelona a satisfying aftertaste.
"
FAXE AMBER LAGER TALL CAN,Denmark,$1.99,/product/696773,5%,Lager,Import Beer,"Faxe Amber is a golden amber lager beer with pleasant malt and orange peel notes. It has a very creamy palate with smooth malty flavours on the finish.
"
FAXE PREMIUM LAGER TALL CAN,Denmark,$1.99,/product/431239,5%,Lager,Import Beer,"Faxe Premium is rich and frothy, with a smooth mouth feel, due to the special yeast and pressure-fermentation technique used in the brewing of this beer. The taste is distinctively smooth. 
"
FAXE ROYAL STRONG TALL CAN,Denmark,$2.39,/product/80176,8%,Lager,Import Beer,"Faxe Royal Strong is a distinctive beer with 8% alcohol. It has more bite and taste than a traditional lager, but is still easily drinkable with a very bright colour and a light but characteristic taste. It has a finely balanced sweetness. 
"
FERNIE - CRAFT COLLECTION CAN,Canada,$22.79,/product/551135,5%,Variety Pack,Domestic Beer - BC Craft Beer,"Enjoy a refreshed selection of products for the summer, in this popular Fernie Craft Collection Pack. Three cans of each – Project 9 Pilsner, Slingshot Session IPA, What the Huck Huckleberry Ale and Campout West Coast Pale. A wide variety of brews, perfect for any adventure. 
"
FERNIE - PROJECT 9 PILSNER CAN,Canada,$12.29,/product/844209,5%,Pilsner,Domestic Beer - BC Craft Beer,"Brewed right in the Canadian Rockies, Project 9 is a true Bavarian Pilsner with exceptional continental hop flavour that can only be achieved by selection of fine noble hops including the Saaz variety. The use of Munich, Pilsner and Pale western Canadian malts and time honoured brewing methods produces a clean, crisp Bavarian Pilsner that is truly transcendent. People’s Choice “Best Beer” Award at Okanagan Fest of Ale, 2014. Food pairings: Chinese, Indian, Thai or Japanese cuisine go well with Pilsners. Or straight up with a wide selection of cheeses, including blue or a sharp cheddar!
"
FERNIE - SLINGSHOT IPA CAN,Canada,$12.29,/product/448159,4.5%,India Pale Ale,Domestic Beer - BC Craft Beer,"Slingshot Session IPA, is an award-winning lower alcohol IPA. Regular IPA imbibers will not be disappointed with this selection of traditional and newer hop cultivars - Cascade, Centennial, Citra, Amarillo. Dry-hopped to provide the distinct citrusy, tropical fruit and pine flavours and aromas. 
"
FERNIE BREWING - CAMPOUT WEST COAST PALE ALE,Canada,$12.29,/product/224769,5.4%,Pale Ale,Domestic Beer - BC Craft Beer,"2019 Canadian Brewing Awards gold medal winner. Brewed in the Rockies, with a taste of the coast, this West Coast Pale Ale is best enjoyed under star-filled skies. A hop forward, light copper coloured Pale Ale with oats added to enhance the body and mouthfeel. 
"
FERNIE BREWING - GHOSTRIDER PUMPKIN BROWN ALE,Canada,$6.19,/product/273177,5%,Fruit Ale,Domestic Beer - BC Craft Beer,"Our classic Brown Ale, brewed with pumpkin, spice and all things nice. Unfiltered to keep the real pumpkin taste alive. Named after a local Fernie legend, Ghostrider stems from our First Trax Brown Ale, with pumpkin, cinnamon, nutmeg, clove and allspice added to bring you the perfect sip of fall.  
"
FERNIE BREWING - HIT THE DECK HAZY IPA CAN,Canada,$12.79,/product/180565,6.4%,India Pale Ale,Domestic Beer - BC Craft Beer,"An IPA style made famous by breweries on the East Coast. It's light, cloudy, low in bitterness, but high in hop flavour and aroma. The highest dry hop of Fernie's IPAs, it features juicy, citrusy Amarillo, Mosaic, Falconer's Flight and Azacca hops. Oats added.
"
