Name,Style,Manufacturer,Location,ABV,Ratings,Description
Hermannator, Bock - Eisbock, Vancouver Island Brewing, Victoria,9.5%,3.98,"Brewed in limited batches each year, Hermannator Ice Bock was first introduced by Hermann, one of our original Brewmasters, during the holiday as a unique gift to his closest friends and customers. Crafted at 9.5% abv, using a signature blend of chocolate and caramel malts, this German Eisbock is slowly cold aged in our cellar for over 3 months."
Right Kind Of Crazy, IPA - Imperial, Powell Street Craft Brewery, Vancouver,9%,4.11,"Brewed in limited batches each year, Hermannator Ice Bock was first introduced by Hermann, one of our original Brewmasters, during the holiday as a unique gift to his closest friends and customers. Crafted at 9.5% abv, using a signature blend of chocolate and caramel malts, this German Eisbock is slowly cold aged in our cellar for over 3 months."
Salty Scot, Scotch Ale / Wee Heavy, Parallel 49 Brewing Company, Vancouver,7.5%,3.94,"Building upon a Scottish ""Wee Heavy"", this unique beer was developed to provide a strong caramel malt flavour with enough salt to give it a bit of a bite. Stronger in alcohol, this beer starts off sweet but remains fairly light to drink."
Wet-Hopped Blonde, Strong Ale - Belgian Pale, Dageraad Brewing, Burnaby,7.5%,4.09,"Building upon a Scottish ""Wee Heavy"", this unique beer was developed to provide a strong caramel malt flavour with enough salt to give it a bit of a bite. Stronger in alcohol, this beer starts off sweet but remains fairly light to drink."
Wildflower Saison, Farmhouse Ale - Saison, Four Winds Brewing Co., Delta,6.5%,4.04,"Building upon a Scottish ""Wee Heavy"", this unique beer was developed to provide a strong caramel malt flavour with enough salt to give it a bit of a bite. Stronger in alcohol, this beer starts off sweet but remains fairly light to drink."
Con Leche Horchata Style Milk Stout, Stout - Sweet / Milk, Twin Sails Brewing, Port Moody,7.5%,4.14,"A Horchata style Milk Stout, brewed with coffee, vanilla and cinnamon. It pours dark black with a thick mocha head and strong aromatics of espresso and spice."
The Toques Of Hazzard White Imperial IPA, IPA - Imperial, Parallel 49 Brewing Company, Vancouver,9.2%,3.97,An Imperial IPA made with wheat to keep the beer light bodied and a hazy white. Big hop flavours and aromas of tropical fruit and gooseberries from the Citra and Nelson Sauvin hops.
Pilsner, Pilsner - Bohemian / Czech, Four Winds Brewing Co., Delta,4.8%,4.07,An Imperial IPA made with wheat to keep the beer light bodied and a hazy white. Big hop flavours and aromas of tropical fruit and gooseberries from the Citra and Nelson Sauvin hops.
Punch Bowl IPA, IPA - American, Russell Brewing Company, Surrey,6.5%,4.01,An Imperial IPA made with wheat to keep the beer light bodied and a hazy white. Big hop flavours and aromas of tropical fruit and gooseberries from the Citra and Nelson Sauvin hops.
White Bark Ale, Wheat Beer - Witbier, Driftwood Brewery, Victoria,5%,3.95,This traditional Belgian-style wheat ale is brewed with the addition of freshly ground coriander and curacao orange peel. Hops are outshone by the wonderful floral aromas that dominate the nose of this dry and quaffable beer.
Goldamsel, Wild Ale, The Moon Under Water Pub & Brewery, Victoria,4.5%,4.18,This traditional Belgian-style wheat ale is brewed with the addition of freshly ground coriander and curacao orange peel. Hops are outshone by the wonderful floral aromas that dominate the nose of this dry and quaffable beer.
Passive Aggressive, Pale Ale - American, Brassneck Brewery, Vancouver,7%,4,"A bright Pale Ale with a strong hop backbone. The ever so slightly sweet malt character plays second fiddle to the punchy hops. Somewhere between a pale & an IPA, Passive Aggressive has become our flagship.75 IBU"
Slam Dank, IPA - American, Twin Sails Brewing, Port Moody,7.5%,4.13,"A bright Pale Ale with a strong hop backbone. The ever so slightly sweet malt character plays second fiddle to the punchy hops. Somewhere between a pale & an IPA, Passive Aggressive has become our flagship.75 IBU"
American Pale Ale, Pale Ale - American, Persephone Brewing, Gibsons,5.5%,4.06,"This medium bodied, light coloured ale is bursting with juicy citrus and tropical fruit aromas from Citra hops. The pleasant citrusy hop flavour and modest bitterness is balanced with a light malt profile. A sessionable beer for the hop lover.OG: 1.050IBU: 33"
Featherweight IPA, IPA - American, Four Winds Brewing Co., Delta,4.5%,4.04,"This medium bodied, light coloured ale is bursting with juicy citrus and tropical fruit aromas from Citra hops. The pleasant citrusy hop flavour and modest bitterness is balanced with a light malt profile. A sessionable beer for the hop lover.OG: 1.050IBU: 33"
Little Dog Syndrome, IPA - Imperial, Yellow Dog Brewing, Port Moody,8.2%,4.2,"""Little Dog Syndrome"" Fresh Hop Double IPA is now available ! Packed with fresh Mosaic Hops from the Yakima Valley, this Double IPA brings together delicious tropical notes with the unique resin of fresh hops."
Reynard, Sour - Flanders Oud Bruin, Strange Fellows Brewing, Vancouver,6.5%,4.15,"Both villain and hero of the story, Fox is the quintessential trickster, exposing foolishness and greed with an irreverent flick of his tail. This classic Flemish style beer, with its sweet and sour character is a tribute to Fox’s duality.Aging for one year in French oak barrels lends a subtle woody vanilla note to this tart, cherry-like brown ale."
Mad Bruin, Sour - Flanders Oud Bruin, Driftwood Brewery, Victoria,7%,4,"For many people and brewers around town including brewers here at Driftwood, Mad Bruin was our first exposure to sour beer, so I was very honoured to have the opportunity to recreate this iconic beer.It was an amazing experience which was made even more sweet by the discovery of ORIGINAL MAD BRUIN BARRELS in our cellar from 2012. They were added to the final blend and added deep complexity including fine leather, cocoa, lemons and caramel.It was a great honour to be able to brew this beer, and I sincerely hope you like it as much as we do here at Driftwood. Cheers!"
Double Barrel Scotch Ale, Scotch Ale / Wee Heavy, Phillips Brewing Company, Victoria,7.7%,4.02,"We’ll admit it, we get bored fairly easily. We wanted to make a new beer and found a more expensive way to do it. We all got pretty jazzed about putting Scotch ale into some barrels, but the question remained, what kind? The overwhelming choice was bourbon, but red wine was also on the table. Why not both? The result is a beer that you notice when you drink it – your senses get smacked with great bourbon aroma which is complimented by a slightly smoky peat flavour and rich vanilla tones. Keep your eye on the prize and pull the trigger."
Dat Juice, Pale Ale - American, Twin Sails Brewing, Port Moody,5.2%,4.01,"An unfiltered American wheat pale ale hopped with 100% Citra hops. It pours a cloudy pale straw colour with bright aromatics of grapefruit, pineapple and mango."
Bourbon Barrel Aged Thor's Hammer Barley Wine, Barleywine - English, Central City Brewers + Distillers, Surrey,12%,3.96,"This award-winning, bourbon-barrel aged barley wine is mahogany in colour and crafted from fine barley malt exuding deep, rich notes of dried fruit, plum and candy with a walnut ester."
Keepers Stout, Stout - Irish Dry, Lighthouse Brewing Company, Victoria,5.1%,3.97,"Keepers Stout is an award winning, authentic example of a classic Irish style, full-bodied, black ale that pours with a rich, creamy head. Bold, complex flavours of espresso and fine, dark chocolate build to a pleasingly mild roasted malt finish."
Burnabarian, Pale Ale - Belgian, Dageraad Brewing, Burnaby,4.5%,4.01,"Keepers Stout is an award winning, authentic example of a classic Irish style, full-bodied, black ale that pours with a rich, creamy head. Bold, complex flavours of espresso and fine, dark chocolate build to a pleasingly mild roasted malt finish."
Jitter Buzz, Stout - American Imperial, Central City Brewers + Distillers, Surrey,9%,4.09,"Day 19 Seasons GreetingsA full bodied , rich and complex Imperial stout with pronounced coffee notes and hints of molasses , cold pressed organic espresso supplied by Vancouver's very own 'Bean around the World' add to this beers complexity and makes for a luscious drink anytime this winter."
Nectar Of The Gods - Whiskey Barrel Aged, Wheat Beer - Wheatwine, Russell Brewing Company, Surrey,10%,4.11,"Day 19 Seasons GreetingsA full bodied , rich and complex Imperial stout with pronounced coffee notes and hints of molasses , cold pressed organic espresso supplied by Vancouver's very own 'Bean around the World' add to this beers complexity and makes for a luscious drink anytime this winter."
Dry Irish Stout, Stout - Irish Dry, Persephone Brewing, Gibsons,4.5%,4.06,Flavours of dark coffee and toast with a balancing bitterness. Lightly carbonated with very smooth texture and dry finish.
Baldwin And Cooper Best Bitter, Bitter - English Extra Special / Strong Bitter (ESB), Howe Sound Inn & Brewing Company, Squamish,5.5%,3.97,"A smooth, malty well-hopped ale, with a full aromatic nose made with 100% barley, hops, water and yeast. The ""best bitter"" description refers to this beer's higher alcohol content and its depth of hop bitterness. It is named for Jim Baldwin & Ed Cooper, the first men to climb the Grand Wall of the Stawamus Chief (702 m) in July, 1961.52 IBU"
Saison, Farmhouse Ale - Saison, Four Winds Brewing Co., Delta,6.5%,3.95,"A smooth, malty well-hopped ale, with a full aromatic nose made with 100% barley, hops, water and yeast. The ""best bitter"" description refers to this beer's higher alcohol content and its depth of hop bitterness. It is named for Jim Baldwin & Ed Cooper, the first men to climb the Grand Wall of the Stawamus Chief (702 m) in July, 1961.52 IBU"
Extra I.P.A., IPA - American, Swans Brewpub / Buckerfield Brewery, Victoria,6.8%,4.01,"A strong hoppy ale. Brewed specifically for the hop lover. A blend of hops, prized for their aroma, gives this beer it’s great hop bouquet and lasting hop flavour."
Pretty Much Yeah, IPA - American, Superflux, Vancouver,6.5%,4.18,"A strong hoppy ale. Brewed specifically for the hop lover. A blend of hops, prized for their aroma, gives this beer it’s great hop bouquet and lasting hop flavour."
Disruption, IPA - Black / Cascadian Dark Ale, Category 12 Brewing, Saanichton,6.7%,3.97,"Compulsion will drive you to distraction. While most of us are happy languishing in the comfort of predictability, there are a select few who are restless. They spend their days trying desperately to hide an urgent need to disrupt this culture of mindless repetition, but their desire to maintain appearances is ultimately overshadowed by their fascinations. Get ready to challenge what you think about dark beer. This black IPA is a calculated anomaly. It looks big and scary like a stout, but it drinks like an IPA. Close your eyes, you’ll never guess how far into the dark you're sinking. With its fresh hop aroma and roasted malt flavour, Disruption is a whole new beast. Welcome to the lab."
GIBitter, Bitter - English, Granville Island Brewery, Vancouver,4.8%,4.11,This single hop session bitter has big flavour but low alcohol. Maris otter pale and English crystal malts with citra hops create a bold body and refreshing bitterness you’ll want to session again and again.30 IBU
Hop Head Double India Pale Ale, IPA - Imperial, Tree Brewing, Kelowna,8.3%,3.92,"At Tree Brewing Company, we take craft brewing seriously. So much in fact that we got a little carried away and brewed this occasional rarity, Hop Head Double IPA. Loaded with five different hop varieties, this bold IPA is not for the faint of heart."
Hoyner Pilsner, Pilsner - German, Hoyne Brewing Co., Victoria,5.5%,3.96,"On the third night, I handed my sweetie a tall slender Pilsner. Perfectly poured. While holding it up and gazing either at it, or through it at me, she said softly, “you are so fine to me.” It was hard to tell if she meant to be heard. “Ambiguity, thy Name is Woman”, I nearly uttered. Whether she was speaking to me, or to the beer, it was merely semantics. The deal was sealed. I would make it my life”s work to make fine beer."
